frame;person_id;nose_x;nose_y;nose_conf;left_eye_x;left_eye_y;left_eye_conf;right_eye_x;right_eye_y;right_eye_conf;left_ear_x;left_ear_y;left_ear_conf;right_ear_x;right_ear_y;right_ear_conf;left_shoulder_x;left_shoulder_y;left_shoulder_conf;right_shoulder_x;right_shoulder_y;right_shoulder_conf;left_elbow_x;left_elbow_y;left_elbow_conf;right_elbow_x;right_elbow_y;right_elbow_conf;left_wrist_x;left_wrist_y;left_wrist_conf;right_wrist_x;right_wrist_y;right_wrist_conf;left_hip_x;left_hip_y;left_hip_conf;right_hip_x;right_hip_y;right_hip_conf;left_knee_x;left_knee_y;left_knee_conf;right_knee_x;right_knee_y;right_knee_conf;left_ankle_x;left_ankle_y;left_ankle_conf;right_ankle_x;right_ankle_y;right_ankle_conf;left_elbow_angle_2d_proj;right_elbow_angle_2d_proj;left_knee_angle_2d_proj;right_knee_angle_2d_proj;left_hip_angle_2d_proj;right_hip_angle_2d_proj;left_shoulder_angle_2d_proj;right_shoulder_angle_2d_proj;left_apparent_shoulder_rotation_2d_deg;right_apparent_shoulder_rotation_2d_deg;body_height_px;left_wrist_apparent_velocity_px_s;right_wrist_apparent_velocity_px_s;detected_event
1;3;76.94;226.49;0.49;74.59;224.55;0.39;85.21;224.35;0.36;73.88;227.31;0.58;85.0;224.76;0.56;73.47;240.88;0.64;93.17;235.98;0.55;76.94;257.32;0.46;97.35;250.17;0.41;78.17;270.69;0.43;87.76;259.05;0.25;94.39;273.75;0.45;105.52;270.07;0.5;92.35;286.51;0.23;119.81;286.51;0.31;119.81;286.51;0.25;119.81;286.51;0.35;173.31;116.35;80.91;90.0;138.43;158.91;20.56;3.48;159.44;176.52;60.02;19.27;42.65;
1;4;21.33;265.62;0.76;20.48;263.42;0.57;21.16;263.93;0.69;13.21;265.11;0.48;20.99;265.62;0.62;18.11;282.03;0.56;19.13;283.05;0.75;17.94;308.76;0.49;16.93;305.38;0.77;20.99;324.66;0.56;21.66;324.15;0.77;7.62;325.34;0.56;10.67;325.0;0.63;18.79;343.1;0.47;19.47;343.95;0.6;17.44;370.17;0.36;11.35;370.17;0.37;168.8;160.22;144.99;137.89;134.23;143.7;13.25;5.77;166.75;174.23;104.55;76.02;30.13;
1;5;247.33;162.08;0.74;248.7;158.25;0.73;245.96;159.34;0.71;254.45;159.89;0.55;244.32;161.81;0.39;258.83;173.31;0.72;243.23;176.86;0.73;247.06;159.89;0.71;226.25;182.61;0.61;237.48;150.58;0.75;228.44;183.16;0.53;258.28;221.21;0.66;246.79;220.94;0.64;265.13;252.97;0.73;238.3;252.42;0.58;274.44;282.54;0.72;239.39;280.62;0.5;175.44;32.75;174.69;162.69;167.18;160.3;138.08;75.9;41.92;104.1;119.5;26.93;74.57;
1;6;98.53;148.52;0.49;99.97;146.47;0.52;96.99;146.57;0.49;101.97;147.65;0.5;94.58;147.8;0.45;104.84;153.85;0.26;91.3;154.11;0.24;105.51;161.29;0.23;87.86;161.85;0.24;105.1;153.75;0.15;90.58;158.16;0.12;102.33;172.52;0.25;93.61;172.52;0.23;105.0;172.52;0.19;92.43;172.52;0.19;100.28;172.52;0.22;93.3;172.52;0.21;2.01;12.43;0.02;0.08;82.33;82.86;12.79;31.07;167.21;148.93;24.01;158.28;35.17;
1;7;257.99;138.89;0.51;259.54;138.04;0.55;256.28;137.75;0.56;261.88;138.75;0.52;253.52;138.75;0.49;265.78;147.11;0.48;265.64;147.25;0.49;271.45;158.3;0.45;271.31;157.95;0.48;267.06;165.25;0.17;265.78;163.97;0.17;260.75;170.07;0.35;260.61;170.28;0.35;238.07;175.31;0.27;262.17;175.31;0.28;263.58;175.31;0.25;262.95;175.31;0.26;120.83;109.54;13.02;107.22;115.38;150.46;39.21;40.24;140.79;139.76;36.43;;;cocking_backswing
2;0;228.31;263.63;0.83;223.94;262.61;0.63;230.63;262.86;0.63;221.11;265.95;0.76;233.2;266.21;0.65;211.33;281.9;0.82;244.52;283.71;0.81;205.67;307.89;0.74;247.1;310.21;0.83;222.91;310.47;0.38;241.18;325.91;0.59;216.22;324.1;0.76;238.6;324.88;0.73;204.64;360.9;0.8;253.79;361.67;0.8;194.09;401.3;0.85;267.94;400.78;0.84;86.2;153.8;177.17;177.47;155.92;149.4;18.9;13.73;161.1;166.27;137.41;528.53;26.71;
2;1;236.41;219.38;0.87;237.46;218.34;0.75;234.95;218.55;0.74;231.62;220.84;0.65;242.05;220.01;0.51;224.73;234.82;0.79;250.6;233.77;0.77;218.69;257.55;0.79;257.27;255.05;0.76;224.73;252.34;0.61;248.72;254.0;0.52;233.7;269.02;0.74;248.93;267.14;0.72;240.17;299.06;0.47;259.15;297.6;0.78;242.25;327.63;0.54;268.33;323.67;0.8;34.34;65.63;172.03;179.16;177.46;158.58;29.59;20.28;150.41;159.72;106.27;22.75;15.48;
2;2;113.79;167.56;0.52;116.55;165.18;0.44;112.69;165.18;0.52;109.57;168.85;0.32;109.57;167.56;0.47;100.93;200.44;0.42;105.71;176.56;0.6;121.14;197.69;0.4;121.87;169.4;0.54;80.54;185.2;0.47;133.26;158.75;0.59;99.65;211.46;0.41;97.63;212.01;0.45;105.34;237.18;0.42;103.69;238.28;0.34;114.53;266.02;0.53;113.06;266.75;0.37;24.87;160.81;174.82;174.78;160.86;154.16;104.42;126.74;75.58;53.26;98.82;31.79;50.64;
2;3;19.83;265.17;0.77;19.33;262.97;0.59;19.66;263.48;0.69;13.58;265.0;0.48;20.0;265.34;0.63;18.14;282.4;0.6;18.65;283.25;0.76;17.8;308.93;0.55;16.96;306.23;0.76;20.85;324.82;0.61;21.52;324.31;0.77;7.33;326.0;0.54;10.88;325.49;0.62;18.82;343.23;0.43;19.33;344.25;0.56;17.97;369.93;0.35;16.96;369.93;0.36;168.43;161.63;144.5;150.49;132.38;145.32;13.2;6.22;166.8;173.78;104.77;2367.89;2792.75;
2;4;76.91;226.66;0.55;74.47;224.53;0.4;80.05;225.65;0.38;73.26;227.57;0.55;83.8;225.34;0.55;72.14;241.25;0.68;92.71;236.08;0.57;75.49;257.26;0.51;97.17;249.45;0.43;77.51;268.5;0.47;87.44;258.67;0.26;92.81;272.96;0.47;103.75;268.81;0.53;90.89;286.03;0.24;106.08;286.03;0.33;59.78;286.03;0.21;118.04;286.03;0.3;178.42;115.03;98.38;97.7;138.53;169.06;21.3;0.21;158.7;179.79;59.37;2393.22;2787.63;
