frame;person_id;nose_x;nose_y;nose_conf;left_eye_x;left_eye_y;left_eye_conf;right_eye_x;right_eye_y;right_eye_conf;left_ear_x;left_ear_y;left_ear_conf;right_ear_x;right_ear_y;right_ear_conf;left_shoulder_x;left_shoulder_y;left_shoulder_conf;right_shoulder_x;right_shoulder_y;right_shoulder_conf;left_elbow_x;left_elbow_y;left_elbow_conf;right_elbow_x;right_elbow_y;right_elbow_conf;left_wrist_x;left_wrist_y;left_wrist_conf;right_wrist_x;right_wrist_y;right_wrist_conf;left_hip_x;left_hip_y;left_hip_conf;right_hip_x;right_hip_y;right_hip_conf;left_knee_x;left_knee_y;left_knee_conf;right_knee_x;right_knee_y;right_knee_conf;left_ankle_x;left_ankle_y;left_ankle_conf;right_ankle_x;right_ankle_y;right_ankle_conf;left_elbow_angle_2d_proj;right_elbow_angle_2d_proj;left_knee_angle_2d_proj;right_knee_angle_2d_proj;left_hip_angle_2d_proj;right_hip_angle_2d_proj;left_shoulder_angle_2d_proj;right_shoulder_angle_2d_proj;left_apparent_shoulder_rotation_2d_deg;right_apparent_shoulder_rotation_2d_deg;body_height_px;left_wrist_apparent_velocity_px_s;right_wrist_apparent_velocity_px_s;detected_event
10;0;222.47;342.26;0.95;225.03;339.49;0.91;221.62;339.28;0.94;232.48;342.05;0.56;266.77;341.62;0.29;242.07;358.45;0.85;219.92;359.09;0.83;243.56;379.53;0.86;217.36;377.19;0.88;238.66;398.06;0.89;216.3;395.08;0.87;240.79;397.0;0.86;228.22;397.0;0.87;236.32;424.26;0.84;228.65;424.26;0.87;239.94;449.82;0.87;232.27;449.82;0.88;161.15;175.37;162.62;172.83;172.58;168.54;5.94;20.39;174.06;159.61;107.55;42.87;49.52;
11;0;222.41;345.85;0.94;224.94;342.69;0.88;221.36;342.69;0.96;231.69;345.22;0.68;220.94;345.01;0.43;240.96;361.24;0.83;219.67;361.66;0.82;240.12;384.21;0.8;216.72;380.2;0.86;231.47;401.28;0.82;213.77;398.75;0.84;241.38;396.85;0.81;227.47;398.54;0.81;236.11;425.93;0.82;226.84;425.93;0.84;241.17;448.06;0.85;232.11;450.8;0.85;155.25;180.0;156.86;166.72;169.05;166.74;2.78;20.98;177.22;159.02;103.58;236.9;133.97;cocking_backswing
12;0;222.35;345.85;0.94;224.88;342.68;0.88;221.3;342.68;0.96;231.63;345.21;0.69;220.87;345.0;0.44;241.12;361.24;0.83;219.61;361.67;0.82;240.07;384.24;0.8;216.66;380.23;0.86;231.42;401.32;0.82;213.7;398.79;0.85;241.33;396.89;0.82;227.41;398.58;0.81;236.27;426.0;0.83;226.78;426.0;0.84;241.12;448.15;0.85;232.05;450.68;0.86;155.78;180.0;157.78;166.62;169.8;166.74;2.97;20.98;177.03;159.02;103.57;2.13;2.48;jump_peak
13;0;222.02;347.79;0.96;224.92;344.68;0.94;220.98;344.68;1.01;231.55;347.79;0.82;220.78;347.38;0.54;241.08;363.33;0.85;219.12;363.53;0.82;238.8;386.53;0.82;216.43;381.97;0.85;226.58;402.06;0.8;213.11;398.96;0.85;241.28;397.51;0.8;226.78;398.96;0.77;237.14;426.71;0.83;225.96;426.92;0.82;241.7;448.46;0.87;231.96;450.95;0.85;147.42;177.27;160.09;164.27;171.58;166.09;5.96;20.52;174.04;159.48;101.91;147.49;18.43;
14;0;222.71;350.41;0.88;225.35;347.16;0.83;221.9;346.96;0.86;232.46;348.99;0.65;220.88;348.58;0.41;241.4;366.25;0.83;220.07;366.25;0.84;237.74;386.56;0.8;216.82;382.7;0.85;223.12;398.14;0.73;213.17;397.53;0.83;241.4;400.17;0.83;228.6;401.39;0.79;237.95;427.18;0.82;225.35;428.2;0.8;242.41;449.12;0.87;232.06;450.13;0.82;138.57;177.32;161.2;156.1;172.72;159.44;10.2;24.82;169.8;155.18;99.22;157.4;42.91;
15;0;224.84;353.09;0.83;227.05;350.08;0.82;223.63;349.88;0.84;233.48;352.69;0.56;265.02;352.49;0.32;241.71;369.16;0.84;219.81;369.57;0.83;236.29;387.25;0.83;216.2;383.83;0.79;224.03;390.46;0.79;214.59;391.06;0.78;241.71;401.11;0.83;227.45;403.32;0.79;240.31;427.83;0.82;225.24;430.65;0.8;243.92;453.15;0.86;232.47;451.54;0.8;121.4;178.3;168.86;156.28;176.99;162.63;16.7;26.97;163.3;153.03;99.25;232.76;199.3;
16;0;225.71;352.8;0.82;227.77;350.12;0.82;224.48;349.91;0.81;234.56;353.41;0.53;255.14;353.21;0.31;242.59;368.85;0.82;219.75;368.85;0.83;237.03;386.55;0.8;217.07;385.31;0.73;224.69;386.14;0.74;220.78;386.55;0.64;241.77;401.16;0.81;227.36;403.63;0.75;241.36;428.33;0.79;226.13;431.0;0.78;244.65;455.29;0.83;233.12;451.79;0.77;105.52;99.21;172.17;158.81;179.41;165.07;15.97;21.58;164.03;158.42;100.74;131.69;230.54;
17;0;225.76;352.66;0.83;227.82;350.19;0.83;224.33;349.99;0.83;234.61;353.48;0.54;255.17;353.07;0.32;242.62;368.9;0.82;219.8;368.9;0.82;237.07;386.58;0.8;217.34;385.55;0.72;224.53;385.96;0.74;220.83;386.58;0.64;241.8;401.18;0.8;227.2;403.65;0.75;241.39;428.32;0.79;226.18;431.2;0.78;244.68;455.46;0.82;232.96;451.76;0.76;104.61;97.96;172.22;159.6;179.41;165.84;15.97;20.45;164.03;159.55;100.95;6.94;1.96;
18;0;227.16;351.32;0.84;229.23;348.84;0.82;225.5;348.84;0.82;235.43;351.94;0.55;255.68;352.15;0.31;243.9;367.65;0.81;220.13;367.44;0.81;239.77;385.01;0.8;216.82;384.6;0.73;225.5;382.95;0.75;219.92;382.95;0.64;241.83;401.55;0.78;226.75;403.82;0.73;242.87;430.69;0.77;227.37;431.93;0.77;244.11;457.15;0.82;232.12;451.98;0.79;95.15;51.02;179.35;167.92;174.48;170.96;9.9;21.22;170.1;158.78;103.24;95.49;112.79;
19;0;227.92;350.03;0.84;230.49;347.46;0.86;226.42;347.24;0.84;236.49;350.24;0.58;223.84;350.24;0.32;244.86;365.89;0.8;219.99;365.68;0.8;245.07;384.33;0.78;215.48;383.69;0.75;228.99;383.69;0.7;219.99;382.62;0.66;241.21;402.34;0.75;226.2;405.13;0.72;243.78;431.93;0.74;228.35;432.57;0.75;243.14;459.16;0.79;230.92;450.58;0.76;87.04;62.57;173.68;176.34;169.32;175.51;6.38;22.99;173.62;157.01;104.84;107.28;10.06;
