frame   person_id   nose_x    nose_y   nose_conf   left_eye_x   left_eye_y   left_eye_conf   right_eye_x   right_eye_y   right_eye_conf   left_ear_x   left_ear_y   left_ear_conf   right_ear_x   right_ear_y   right_ear_conf   left_shoulder_x   left_shoulder_y   left_shoulder_conf   right_shoulder_x   right_shoulder_y   right_shoulder_conf   left_elbow_x   left_elbow_y   left_elbow_conf   right_elbow_x   right_elbow_y   right_elbow_conf   left_wrist_x   left_wrist_y   left_wrist_conf   right_wrist_x   right_wrist_y   right_wrist_conf   left_hip_x   left_hip_y   left_hip_conf   right_hip_x   right_hip_y   right_hip_conf   left_knee_x   left_knee_y   left_knee_conf   right_knee_x   right_knee_y   right_knee_conf   left_ankle_x   left_ankle_y   left_ankle_conf   right_ankle_x   right_ankle_y   right_ankle_conf   left_elbow_angle_2d_proj   right_elbow_angle_2d_proj   left_knee_angle_2d_proj   right_knee_angle_2d_proj   left_hip_angle_2d_proj   right_hip_angle_2d_proj   left_shoulder_angle_2d_proj   right_shoulder_angle_2d_proj   left_apparent_shoulder_rotation_2d_deg   right_apparent_shoulder_rotation_2d_deg   body_height_px   left_wrist_apparent_velocity_px_s   right_wrist_apparent_velocity_px_s   detected_event       
------- ----------- --------- -------- ----------- ------------ ------------ --------------- ------------- ------------- ---------------- ------------ ------------ --------------- ------------- ------------- ---------------- ----------------- ----------------- -------------------- ------------------ ------------------ --------------------- -------------- -------------- ----------------- --------------- --------------- ------------------ -------------- -------------- ----------------- --------------- --------------- ------------------ ------------ ------------ --------------- ------------- ------------- ---------------- ------------- ------------- ---------------- -------------- -------------- ----------------- -------------- -------------- ----------------- --------------- --------------- ------------------ -------------------------- --------------------------- ------------------------- -------------------------- ------------------------ ------------------------- ----------------------------- ------------------------------ ---------------------------------------- ----------------------------------------- ---------------- ----------------------------------- ------------------------------------ -------------------- 
9       0           827.2     680.0    0.26        862.19       680.0        0.3             867.57        674.62        0.29             862.19       661.17       0.27            846.04        655.78        0.22             854.11            631.57            0.29                 848.73             628.88             0.25                  837.97         725.75         0.22              784.15          297.89          0.2                808.37         728.44         0.2               784.15          262.9           0.2                854.11       768.81       0.23            827.2         766.11        0.22             821.82        690.77        0.18             356.28         674.62         0.18              348.21         817.24         0.32              345.52          814.55          0.35               104.92                     168.96                      97.53                     83.4                       22.48                    87.92                     9.73                          160.04                         170.27                                   19.96                                     135.89           181.52                              735.1                                -                    
10      0           821.82    677.31   0.24        859.5        680.0        0.28            867.57        674.62        0.27             864.88       658.48       0.25            829.9         653.09        0.2              851.42            631.57            0.26                 837.97             631.57             0.23                  835.28         311.34         0.21              759.93          300.58          0.19               808.37         268.28         0.19              759.93          262.9           0.2                851.42       766.11       0.21            821.82        766.11        0.21             367.05        690.77        0.22             358.98         685.39         0.24              350.9          819.93         0.34              345.52          817.24          0.38               150.88                     166.73                      88.28                     85.93                      81.16                    86.95                     177.11                        159.89                         2.89                                     20.11                                     141.28           13881.44                            730.6                                -                    
11      0           840.66    682.69   0.24        856.81       682.69       0.3             854.11        680.0         0.29             859.5        653.09       0.26            848.73        230.61        0.21             851.42            626.18            0.3                  872.95             628.88             0.26                  837.97         728.44         0.24              808.37          714.99          0.2                813.75         736.51         0.21              808.37          252.14          0.21               851.42       774.19       0.25            846.04        776.88        0.24             367.05        685.39        0.25             361.67         674.62         0.27              350.9          819.93         0.36              348.21          817.24          0.41               115.93                     36.87                       86.45                     83.47                      79.61                    88.38                     7.5                           26.57                          172.5                                    153.43                                    135.89           14125.91                            1496.85                              -                    
12      0           824.51    685.39   0.25        867.57       685.39       0.3             870.26        680.0         0.29             859.5        658.48       0.26            848.73        222.54        0.22             854.11            628.88            0.3                  864.88             628.88             0.26                  840.66         728.44         0.24              808.37          292.5           0.2                813.75         257.52         0.21              808.37          254.83          0.23               854.11       774.19       0.25            835.28        771.5         0.24             369.74        680.0         0.2              358.98         669.24         0.21              350.9          819.93         0.32              348.21          814.55          0.36               10.97                      170.46                      86.66                     82.12                      79.0                     89.61                     7.7                           158.74                         172.3                                    21.26                                     131.86           14449.69                            81.18                                take_off             
13      0           1227.71   361.53   0.39        1227.56      355.86       0.37            1224.08       354.12        0.41             1229.31      360.37       0.34            1229.6        362.84        0.28             1235.12           306.6             0.39                 1236.86            308.05             0.42                  1228.0         326.51         0.3               1239.77         309.8           0.26               1226.11        360.22         0.2               1236.57         370.98          0.31               1236.43      373.01       0.25            1242.82       370.1         0.36             1230.62       311.69        0.27             1231.05        369.09         0.28              1239.48        399.17         0.45              1238.46         399.17          0.43               163.53                     117.97                      0.37                      71.22                      4.29                     79.58                     20.81                         53.55                          159.19                                   126.45                                    37.64            12819.62                            13384.35                             jump_peak            
14      0           1227.7    361.55   0.4         1227.26      355.89       0.37            1224.07       354.14        0.41             1229.44      360.39       0.34            1229.59       361.11        0.29             1235.11           307.95            0.39                 1236.7             308.24             0.42                  1227.99        326.83         0.29              1239.76         309.69          0.24               1225.95        399.17         0.19              1236.7          372.15          0.3                1236.56      373.9        0.24            1242.95       370.85        0.36             1230.75       311.72        0.27             1231.04        369.1          0.28              1239.61        399.17         0.45              1238.45         399.17          0.44               160.96                     112.67                      0.45                      67.83                      4.08                     75.98                     21.91                         58.84                          158.09                                   121.16                                    37.62            1175.09                             35.81                                -                    
15      0           1227.71   361.73   0.41        1227.13      355.92       0.38            1224.08       354.32        0.43             1229.6       360.42       0.36            1229.89       361.44        0.3              1235.85           306.52            0.38                 1237.01            308.27             0.41                  1228.73        326.28         0.27              1239.92         309.58          0.22               1225.53        360.13         0.18              1236.43         371.17          0.28               1237.3       378.29       0.23            1243.69       372.48        0.34             1230.76       311.9         0.27             1230.91        368.71         0.27              1239.62        399.21         0.44              1238.46         399.21          0.42               165.58                     110.99                      0.17                      59.63                      4.46                     67.6                      20.97                         59.83                          159.03                                   120.17                                    37.48            1177.81                             30.72                                -                    
16      0           1196.83   363.32   0.96        1186.23      354.49       0.38            1187.41       354.49        0.43             1346.31      542.81       0.29            1332.77       362.14        0.28             1172.11           431.0             0.91                 1242.73            398.63             0.85                  1189.18        502.21         0.88              1192.12         516.92          0.47               1219.78        595.78         0.83              1223.31         605.79          0.56               1245.67      592.25       0.64            1225.08       592.25        0.46             1242.14       669.93        0.78             1244.5         663.46         0.59              1243.32        716.43         0.2               1368.08         716.43          0.17               175.37                     137.5                       175.95                    128.45                     152.87                   159.53                    11.04                         17.95                          168.96                                   162.05                                    353.11           7110.83                             7088.49                              -                    
17      0           1197.49   363.12   0.95        1286.24      353.77       0.37            1188.14       353.77        0.42             1345.22      541.79       0.29            1331.79       363.12        0.28             1171.79           430.27            0.91                 1243.03            398.15             0.85                  1189.31        503.26         0.87              1192.23         519.61          0.48               1220.84        600.19         0.84              1224.35         608.95          0.59               1247.7       589.68       0.62            1223.18       589.68        0.4              1243.62       672.59        0.79             1244.2         665.0          0.6               1244.78        713.47         0.18              1366.82         713.47          0.17               175.48                     137.53                      175.54                    127.16                     151.71                   158.49                    11.97                         16.78                          168.03                                   163.22                                    350.35           136.74                              100.32                               -                    
18      0           1177.69   363.07   0.94        1169.74      358.01       0.57            1171.19       358.01        0.65             981.73       512.03       0.39            1360.64       366.69        0.39             1150.94           425.26            0.87                 1234.82            405.01             0.93                  1148.05        484.55         0.84              1227.59         491.06          0.27               1188.54        573.5          0.84              1222.53         580.73          0.7                1234.1       591.57       0.81            1226.86       590.85        0.63             1231.93       713.78        0.77             1212.4         692.08         0.84              1239.88        816.46         0.26              1260.13         816.46          0.38               152.73                     178.43                      174.55                    150.88                     152.42                   174.32                    29.36                         2.35                           150.64                                   177.65                                    453.38           1264.07                             853.04                               landing              
