frame;person_id;nose_x;nose_y;nose_conf;left_eye_x;left_eye_y;left_eye_conf;right_eye_x;right_eye_y;right_eye_conf;left_ear_x;left_ear_y;left_ear_conf;right_ear_x;right_ear_y;right_ear_conf;left_shoulder_x;left_shoulder_y;left_shoulder_conf;right_shoulder_x;right_shoulder_y;right_shoulder_conf;left_elbow_x;left_elbow_y;left_elbow_conf;right_elbow_x;right_elbow_y;right_elbow_conf;left_wrist_x;left_wrist_y;left_wrist_conf;right_wrist_x;right_wrist_y;right_wrist_conf;left_hip_x;left_hip_y;left_hip_conf;right_hip_x;right_hip_y;right_hip_conf;left_knee_x;left_knee_y;left_knee_conf;right_knee_x;right_knee_y;right_knee_conf;left_ankle_x;left_ankle_y;left_ankle_conf;right_ankle_x;right_ankle_y;right_ankle_conf;left_elbow_angle_2d_proj;right_elbow_angle_2d_proj;left_knee_angle_2d_proj;right_knee_angle_2d_proj;left_hip_angle_2d_proj;right_hip_angle_2d_proj;left_shoulder_angle_2d_proj;right_shoulder_angle_2d_proj;left_apparent_shoulder_rotation_2d_deg;right_apparent_shoulder_rotation_2d_deg;body_height_px;left_wrist_apparent_velocity_px_s;right_wrist_apparent_velocity_px_s;detected_event
5;0;1488.75;570.84;0.92;1490.37;565.97;0.93;1490.92;565.97;0.81;1497.42;569.22;0.64;1500.13;569.76;0.35;1511.51;609.86;0.81;1526.14;606.07;0.76;1514.76;662.42;0.78;1535.35;658.63;0.77;1498.5;707.4;0.83;1521.8;700.35;0.6;1520.18;706.31;0.73;1529.39;704.69;0.68;1518.01;774.59;0.75;1503.92;758.33;0.78;1536.97;844.49;0.81;1539.14;828.23;0.83;156.59;152.07;163.0;127.86;173.05;152.72;1.6;8.05;178.4;171.95;265.52;12.13;12.21;
5;1;1142.64;570.57;0.98;1146.51;566.0;0.96;1139.83;566.35;0.99;1154.58;568.11;0.86;1135.62;569.16;0.69;1166.52;593.04;0.86;1127.19;596.2;0.87;1174.25;623.59;0.88;1120.52;623.94;0.81;1153.53;626.75;0.83;1126.84;628.15;0.78;1159.15;656.24;0.79;1139.48;657.3;0.8;1156.34;694.87;0.81;1142.64;696.62;0.84;1158.09;741.57;0.83;1150.72;737.71;0.82;84.48;110.17;173.69;173.47;177.51;173.22;20.85;24.9;159.15;155.1;169.07;5.1;5.89;
6;0;1488.71;568.67;0.91;1489.8;563.79;0.92;1490.88;563.79;0.8;1496.31;565.96;0.6;1497.94;567.59;0.32;1512.59;607.2;0.8;1523.99;603.95;0.74;1515.31;659.85;0.79;1531.59;657.14;0.76;1493.6;701.64;0.81;1515.31;696.21;0.61;1521.82;703.27;0.72;1528.33;701.1;0.68;1518.02;769.48;0.75;1505.54;758.63;0.77;1536.47;842.75;0.79;1537.02;828.64;0.81;149.6;149.25;162.58;134.18;171.23;155.83;2.54;5.57;177.46;174.43;267.02;227.58;231.79;
6;1;1142.71;570.54;0.98;1146.56;565.99;0.96;1139.91;566.34;0.99;1154.61;568.44;0.86;1135.71;569.14;0.68;1166.5;592.94;0.86;1126.96;596.43;0.87;1174.2;623.38;0.88;1119.96;624.43;0.81;1153.21;626.53;0.83;1126.96;628.28;0.78;1159.15;656.27;0.79;1139.21;656.97;0.8;1156.36;694.77;0.8;1142.71;696.52;0.83;1158.11;741.31;0.83;1150.76;737.81;0.82;84.34;104.77;173.69;174.03;177.54;173.62;20.81;25.47;159.19;154.53;169.02;11.75;5.18;
7;0;1488.24;569.61;0.9;1489.34;564.12;0.91;1490.43;564.67;0.83;1495.92;566.32;0.59;1508.54;567.96;0.31;1514.03;606.92;0.79;1521.71;604.72;0.72;1516.22;657.4;0.77;1526.65;659.04;0.71;1487.69;697.45;0.79;1504.7;693.61;0.57;1522.81;704.04;0.73;1525.55;701.84;0.68;1515.12;768.78;0.72;1506.89;760.55;0.74;1538.72;841.21;0.77;1533.78;830.23;0.75;142.05;142.39;155.19;141.27;168.07;160.11;2.68;2.93;177.32;177.07;266.11;217.88;328.64;
7;1;1141.98;570.23;0.98;1145.87;565.98;0.97;1139.15;565.98;0.99;1154.0;568.1;0.88;1134.9;569.16;0.7;1165.67;593.21;0.86;1126.06;596.04;0.87;1173.09;623.62;0.88;1119.7;623.62;0.79;1152.58;626.81;0.83;1125.35;627.87;0.78;1158.6;656.16;0.79;1138.79;656.86;0.8;1156.12;694.7;0.81;1142.33;696.12;0.84;1157.89;741.38;0.83;1150.46;737.84;0.82;85.1;113.88;174.16;174.12;177.26;173.33;20.13;24.82;159.87;155.18;169.39;20.47;49.88;
8;0;1487.6;571.75;0.89;1489.25;565.72;0.89;1489.25;566.82;0.83;1496.92;569.01;0.42;1503.5;571.21;0.23;1515.57;609.04;0.78;1519.41;609.59;0.68;1519.96;656.2;0.76;1524.34;661.14;0.67;1482.12;694.04;0.78;1495.83;694.59;0.52;1522.15;707.75;0.71;1522.7;706.1;0.67;1512.83;770.81;0.71;1508.99;765.87;0.71;1542.44;845.94;0.76;1530.92;837.16;0.74;129.69;134.08;150.08;149.98;167.78;165.13;1.5;3.52;178.5;176.48;269.8;196.65;268.61;
8;1;1141.65;570.01;0.96;1145.52;565.79;0.96;1138.84;565.79;0.97;1153.6;567.9;0.86;1134.28;568.6;0.67;1165.54;593.55;0.87;1125.84;596.01;0.87;1172.22;624.11;0.87;1119.52;623.76;0.79;1151.49;626.57;0.82;1124.79;627.63;0.78;1157.81;656.44;0.8;1138.14;657.14;0.8;1156.06;696.49;0.81;1142.0;696.84;0.84;1157.46;741.81;0.83;1150.09;737.95;0.82;84.45;113.42;175.71;174.44;175.5;174.19;19.33;24.21;160.67;155.79;169.87;33.65;18.48;
9;0;1487.39;576.45;0.9;1489.54;570.52;0.91;1489.01;570.52;0.87;1499.25;574.83;0.41;1512.19;575.91;0.21;1518.12;614.73;0.77;1515.97;615.27;0.67;1521.36;660.57;0.76;1520.28;664.34;0.66;1477.68;692.92;0.78;1518.12;695.62;0.47;1522.44;712.87;0.7;1519.74;711.8;0.66;1511.65;777.04;0.74;1511.11;773.81;0.71;1545.09;851.46;0.76;1534.3;841.75;0.72;122.49;171.03;146.27;153.24;167.94;169.84;1.52;2.78;178.48;177.22;270.15;137.65;671.69;
9;1;1141.6;570.05;0.96;1145.45;565.5;0.96;1138.81;565.5;0.98;1153.5;567.95;0.86;1134.61;568.65;0.68;1165.04;593.83;0.86;1125.87;595.93;0.87;1172.03;623.91;0.87;1119.57;623.56;0.78;1150.7;626.71;0.81;1123.77;627.41;0.78;1157.69;656.43;0.79;1138.11;656.78;0.8;1155.59;696.31;0.81;1141.6;697.01;0.84;1157.69;741.77;0.83;1150.0;738.28;0.82;84.38;119.67;174.34;173.47;176.32;173.6;19.78;24.21;160.22;155.79;169.98;24.19;31.47;
