frame;person_id;nose_x;nose_y;nose_conf;left_eye_x;left_eye_y;left_eye_conf;right_eye_x;right_eye_y;right_eye_conf;left_ear_x;left_ear_y;left_ear_conf;right_ear_x;right_ear_y;right_ear_conf;left_shoulder_x;left_shoulder_y;left_shoulder_conf;right_shoulder_x;right_shoulder_y;right_shoulder_conf;left_elbow_x;left_elbow_y;left_elbow_conf;right_elbow_x;right_elbow_y;right_elbow_conf;left_wrist_x;left_wrist_y;left_wrist_conf;right_wrist_x;right_wrist_y;right_wrist_conf;left_hip_x;left_hip_y;left_hip_conf;right_hip_x;right_hip_y;right_hip_conf;left_knee_x;left_knee_y;left_knee_conf;right_knee_x;right_knee_y;right_knee_conf;left_ankle_x;left_ankle_y;left_ankle_conf;right_ankle_x;right_ankle_y;right_ankle_conf;left_elbow_angle_2d_proj;right_elbow_angle_2d_proj;left_knee_angle_2d_proj;right_knee_angle_2d_proj;left_hip_angle_2d_proj;right_hip_angle_2d_proj;left_shoulder_angle_2d_proj;right_shoulder_angle_2d_proj;left_apparent_shoulder_rotation_2d_deg;right_apparent_shoulder_rotation_2d_deg;body_height_px;left_wrist_apparent_velocity_px_s;right_wrist_apparent_velocity_px_s;detected_event
10;0;1125.42;631.98;0.89;1127.55;629.65;0.9;1123.87;630.23;0.94;1130.27;631.01;0.71;1121.73;631.01;0.58;1134.93;641.49;0.83;1118.82;642.07;0.83;1135.32;649.45;0.73;1114.74;655.47;0.84;1130.85;640.13;0.65;1108.14;666.53;0.79;1133.38;672.36;0.8;1122.51;671.58;0.82;1133.77;692.16;0.83;1122.31;691.0;0.84;1134.74;711.19;0.82;1125.61;710.41;0.86;22.81;166.11;178.2;169.78;176.0;172.3;5.67;24.05;174.33;155.95;78.82;80.09;39.61;
11;0;1125.66;632.78;0.91;1127.78;631.05;0.92;1124.13;631.43;0.96;1130.47;631.82;0.75;1122.2;632.01;0.62;1135.47;641.24;0.88;1119.51;642.2;0.87;1136.05;649.89;0.77;1115.66;656.05;0.87;1130.09;640.28;0.69;1110.66;667.01;0.84;1134.51;673.17;0.85;1122.97;672.59;0.86;1135.09;694.52;0.89;1123.16;692.4;0.88;1136.05;713.75;0.85;1126.82;712.02;0.9;27.98;171.0;178.69;170.0;176.73;174.06;5.54;22.02;174.46;157.98;80.11;23.39;77.02;
12;0;1125.88;632.0;1.02;1127.46;630.03;1.02;1124.49;630.42;1.02;1130.42;631.21;0.71;1122.91;631.21;0.58;1135.37;641.69;0.94;1119.36;642.48;0.98;1138.92;654.74;0.92;1117.58;657.11;1.03;1133.59;649.0;0.7;1114.02;668.97;0.9;1135.56;673.12;0.93;1123.51;672.92;0.97;1135.96;693.28;0.95;1125.48;693.48;0.98;1137.94;714.63;0.9;1129.63;714.43;0.98;27.7;170.24;175.83;174.29;179.24;177.73;14.89;14.7;165.11;165.3;82.53;282.07;116.54;
13;0;1126.05;633.09;0.96;1127.58;630.99;0.98;1124.52;631.37;0.98;1130.63;632.14;0.72;1122.8;632.33;0.6;1135.41;643.03;0.9;1119.36;643.8;0.94;1140.0;656.41;0.91;1118.02;658.51;0.99;1135.03;650.87;0.68;1114.77;671.12;0.86;1135.98;674.18;0.88;1124.14;673.99;0.9;1136.37;693.86;0.9;1125.86;693.86;0.93;1138.47;713.93;0.86;1130.63;715.08;0.93;22.95;170.75;175.13;172.25;179.94;175.95;17.87;14.19;162.13;165.81;81.41;70.65;68.47;
14;0;1126.29;633.88;1.0;1127.67;631.91;0.98;1124.71;632.3;1.0;1130.63;633.09;0.68;1123.13;633.29;0.55;1136.15;643.95;0.93;1119.38;644.93;0.98;1140.89;656.97;0.94;1118.59;659.14;1.02;1133.19;654.01;0.8;1115.83;672.76;0.92;1136.35;674.54;0.91;1123.92;674.54;0.94;1135.96;693.88;0.92;1126.09;694.27;0.95;1139.31;714.6;0.88;1131.62;715.19;0.95;48.98;171.71;169.63;171.48;178.46;177.56;19.61;11.9;160.39;168.1;81.01;109.22;58.42;
15;0;1126.36;637.31;0.98;1127.71;635.57;0.98;1124.82;635.96;1.01;1130.4;636.54;0.73;1123.28;637.31;0.65;1136.57;647.32;0.91;1119.62;649.06;0.97;1143.31;661.58;0.93;1119.23;663.7;0.97;1136.18;663.12;0.79;1118.46;677.96;0.92;1137.15;677.76;0.88;1125.4;677.96;0.91;1135.61;697.99;0.89;1127.9;697.61;0.92;1139.65;713.98;0.86;1132.91;716.87;0.91;76.89;178.41;161.44;172.69;174.56;175.95;24.23;12.82;155.77;167.18;78.12;287.67;174.77;
16;0;1126.47;639.46;0.98;1127.93;637.99;0.98;1125.01;638.18;1.01;1130.13;639.09;0.7;1123.91;639.46;0.6;1136.9;649.7;0.91;1119.52;651.16;0.95;1144.03;664.34;0.93;1119.88;665.8;0.96;1139.46;672.39;0.81;1119.7;679.52;0.91;1137.26;679.7;0.89;1125.92;680.07;0.91;1135.62;698.37;0.88;1129.03;698.55;0.91;1141.11;718.67;0.79;1133.79;716.66;0.86;124.41;177.8;159.83;174.84;174.26;177.06;25.29;11.06;154.71;168.94;78.21;294.77;59.9;
17;0;1126.97;640.42;0.97;1128.05;638.61;0.98;1125.7;638.8;1.0;1129.86;639.88;0.66;1124.62;640.42;0.55;1137.28;650.74;0.93;1119.19;652.01;0.94;1145.07;665.22;0.92;1119.37;666.85;0.96;1145.43;676.44;0.83;1119.91;680.06;0.96;1137.28;680.42;0.88;1126.42;681.33;0.91;1135.47;698.34;0.9;1129.68;699.6;0.94;1141.08;719.87;0.82;1134.75;717.88;0.86;153.59;178.35;159.63;174.61;174.23;176.24;28.26;13.17;151.74;166.83;78.45;216.43;17.28;
18;0;1127.72;640.74;0.98;1129.19;639.26;1.01;1126.43;639.08;1.04;1131.4;640.55;0.74;1124.41;640.92;0.6;1138.02;651.22;0.94;1119.81;651.77;0.96;1147.03;664.09;0.93;1118.89;666.48;0.99;1153.46;674.02;0.81;1119.44;678.25;0.91;1137.28;679.35;0.92;1127.17;680.83;0.93;1135.26;695.91;0.91;1130.48;700.5;0.87;1139.3;718.89;0.8;1138.2;718.71;0.76;177.96;173.74;163.05;166.56;174.53;175.34;36.49;17.78;143.51;162.22;78.07;251.79;56.01;
19;0;1128.28;640.25;0.98;1129.77;638.96;0.97;1126.8;638.77;1.03;1131.81;640.44;0.7;1124.75;640.63;0.61;1138.31;650.65;0.91;1119.93;651.77;0.92;1147.78;662.91;0.87;1118.81;665.51;0.95;1154.46;672.0;0.77;1118.63;676.46;0.85;1137.38;679.25;0.84;1127.17;681.29;0.85;1135.34;693.91;0.84;1131.07;700.78;0.79;1138.68;717.49;0.8;1139.61;718.42;0.72;178.61;176.34;164.01;165.47;173.93;177.53;39.55;18.42;140.45;161.58;77.7;67.48;59.04;
